2P,2P%,2PA,3P,3P%,3PA,AST,BLK,DRB,FG,FG%,FGA,FT,FT%,FTA,G,GS,Height,Label,MP,ORB,PF,PTS,Pick,Player,SOS,STL,School,TOV,TRB,Weight,Year
7,0.502,14,0.7,0.3,2.2,1,2.5,0,7.7,0.475,16.2,4,0.637,6.2,112,84,183.3,Star,29.4,0,3,20,8,Vin Baker,-6.08,1,Hartford,2.5,8.5,232,1993
7.1,0.613,11.5,0.6,0.349,1.7,2.2,0.8,0,7.7,0.579,13.2,3.4,0.694,4.9,89,86,201,Starter,31.7,0,2.8,19.3,9,Rodney Rogers,8.27,1.6,Wake Forest,2.8,7.9,235,1993
5.5,0.45,12.2,3.2,0.357,8.9,3.7,0.3,0,8.7,0.411,21.1,3.7,0.708,5.2,92,34,186,Role,34.3,0,2,24.2,10,Lindsey Hunter,0,2.4,Jackson State,3.2,3.4,170,1993
4.3,0.486,8.9,2.7,0.424,6.4,3.6,0.4,0,7,0.46,15.3,5.1,0.849,6,128,128,198,Star,36,0,2.1,21.9,11,Allan Houston,8.29,1,Tennessee,3.2,4,200,1993
5,0.524,9.6,0.1,0.344,0.2,1.7,0.4,0,5.1,0.519,9.8,2.2,0.651,3.4,140,102,204,Role,26.5,0,2.8,12.5,12,George Lynch,10.82,1.7,UNC,2.3,7.8,218,1993
3.7,0.486,7.6,2.5,0.389,6.3,2.5,0.3,0,6.1,0.442,13.9,4.8,0.822,5.8,128,128,186,Role,33.4,0,2.7,19.5,13,Terry Dehere,9.45,1.2,Seton Hall,2.7,3.2,190,1993
4.7,0.55,8.6,0,0,0,0.7,1.5,0,4.7,0.55,8.6,2.4,0.711,3.4,111,91,183.3,Non-NBA,24.4,0,2.9,11.9,14,Scott Haskin,8.36,0.4,Oregon State,1.6,5.6,250,1993
6.4,0.547,11.6,0.3,0.263,1.2,2.5,1.3,0,6.7,0.52,12.8,3.6,0.725,4.9,93,93,201,Non-NBA,34.5,0,3.2,17.2,15,Doug Edwards,8.55,1.3,Florida State,2.8,8.5,220,1993
2.8,0.607,4.7,2.2,0.418,5.3,4.1,0.3,0,5.1,0.507,10,3.3,0.849,3.9,68,68,192,Role,28.6,0,2.5,15.6,16,Rex Walters,0,1.4,Kansas,2.5,3,190,1993
3,0.538,5.6,0.8,0.439,1.9,2.3,0.3,0,3.8,0.514,7.5,3.5,0.766,4.6,132,77,192,Role,24.7,0,2,12,17,Greg Graham,10.52,1.1,Indiana,1.8,3.1,174,1993
2.9,0.522,5.6,0,0,0,0.5,1.8,0,2.9,0.522,5.6,1.2,0.644,1.8,64,31,216,Non-NBA,18,0,2.3,7.1,18,Luther Wright,8.7,0.7,Seton Hall,1.2,5.3,270,1993
5.5,0.509,10.8,0,0.286,0.1,1.2,3.1,0,5.5,0.508,10.9,4.3,0.68,6.3,116,62,183,Role,27.6,0,2.4,15.3,19,Acie Earl,9.03,1,Iowa,2.9,7,240,1993
3.2,0.467,6.8,1.4,0.357,4,2.5,1.1,0,4.6,0.426,10.7,2.6,0.64,4,119,50,201,Role,32.1,0,3.2,13.1,20,Scott Burrell,7.75,2.6,UConn,2.4,6.3,218,1993
4.3,0.504,8.4,2.3,0.371,6.3,1.9,0.5,0,6.6,0.447,14.8,3.4,0.697,4.8,96,65,186,Role,33.2,0,2.5,18.9,21,James Robinson,7.94,1.3,Alabama,2.9,4.1,180,1993
5.2,0.564,9.2,1.3,0.385,3.5,2,0.4,0,6.5,0.515,12.7,2.8,0.785,3.6,94,59,198,Starter,30.6,0,2.4,17.2,22,Chris Mills,0,1,Arizona,2.2,7.3,215,1993
5.2,0.591,8.8,0,0,0,1.1,2.4,0,5.2,0.591,8.8,2.7,0.646,4.2,123,61,183.3,Role,30,0,3.1,13.1,23,Ervin Johnson,0.69,0.9,New Orleans,2.1,10.5,245,1993
5,0.531,9.5,1.6,0.366,4.5,4.4,0.3,0,6.7,0.478,13.9,3.4,0.734,4.6,66,66,189,Star,35.5,0,3.3,18.3,24,Sam Cassell,10.09,2.3,Florida State,2.9,4.4,185,1993
4,0.513,7.7,0,0,0,2.1,1.5,0,4,0.511,7.8,1.5,0.559,2.6,55,17,207,Role,26.4,0,3.2,9.4,25,Corie Blount,6.28,1.4,Cincinnati,2,7,240,1993
2.5,0.474,5.2,0,0,0,0.8,0.4,0,2.5,0.471,5.3,1.5,0.685,2.2,113,0,210,Non-NBA,14.5,0,1.8,6.5,26,Geert Hammink,7.34,0.4,LSU,1.4,4.7,262,1993
5.4,0.546,10,0,0,0,1.1,1.5,0,5.4,0.545,10,2.4,0.621,3.9,130,127,207,Non-NBA,31.9,0,3,13.3,27,Malcolm Mackey,10.55,0.5,Georgia Tech,2,9.3,248,1993
4.6,0.508,9.1,1.7,0.362,4.8,2.4,0.2,0,6.4,0.458,13.9,4.5,0.727,6.2,122,31,195,Role,34.3,0,2,19,28,Lucious Harris,3.4,1.6,Long Beach State,2.1,4.8,190,1993
4.9,0.544,8.9,0,0.125,0.1,1.4,1.6,0,4.9,0.54,9,2,0.703,2.9,82,52,207,Non-NBA,26.8,0,2.4,11.8,29,Sherron Mills,2.06,0.6,VCU,2.1,6.9,0,1993
4.8,0.5,9.6,0,0.25,0,0.9,0.6,0,4.8,0.499,9.7,2,0.614,3.2,113,60,204,Non-NBA,22.5,0,2.5,11.6,31,Evers Burns,7.81,1,Maryland,1.5,5.6,260,1993
7.2,0.531,13.6,3.1,0.338,9,2.7,0.3,0,10.3,0.454,22.7,5.4,0.763,7.1,109,0,183,Role,32.8,0,2.8,29,32,Alphonso Ford,-6.58,2,Mississippi Valley State,2.8,5.4,190,1993
2.4,0.534,4.4,0,0,0,0.6,1.3,0,2.4,0.531,4.5,1.4,0.67,2.1,126,29,210,Non-NBA,18,0,2.8,6.2,33,Eric Riley,10.73,0.4,Michigan,1.5,5.2,245,1993
3.2,0.499,6.5,1.6,0.334,4.7,3,1.2,0,4.8,0.429,11.2,2.6,0.712,3.6,91,89,195,Non-NBA,30.7,0,3.1,13.8,34,Darnell Mee,1.01,2.8,Western Kentucky,2.4,5.2,175,1993
3.1,0.515,6,0,0,0,0.5,1.4,0,3.1,0.515,6,1.9,0.624,3.1,121,54,210,Non-NBA,20.8,0,2.7,8.1,35,Ed Stokes,8.79,0.5,Arizona,1.4,5.3,264,1993
6.7,0.567,11.8,0.1,0.186,0.4,1.1,0.2,0,6.8,0.553,12.3,4.6,0.736,6.3,97,57,204,Non-NBA,26.6,0,2.7,18.3,36,John Best,-3.52,1,Tennessee Tech,2.7,6.1,0,1993
3,0.459,6.5,2.3,0.358,6.3,3.6,0.1,0,5.3,0.409,12.9,2.4,0.701,3.4,65,29,183,Star,29,0,1.6,15.2,37,Nick Van Exel,6.28,1.5,Cincinnati,2,2.5,170,1993
2.7,0.552,4.9,0,0.167,0.1,0.5,2,0,2.7,0.548,5,2,0.598,3.4,104,30,183,Non-NBA,22.4,0,3,7.5,38,Conrad McRae,8.31,1,Syracuse,0.9,5.1,0,1993
0.2,0.4,0.5,0.9,0.371,2.4,1.5,0,0.7,1.1,0.376,2.9,0.3,0.474,0.7,29,11,153,Non-NBA,13.4,0.2,1.2,3.4,39,Thomas Hill,-5.03,0.6,Maine,1.1,0.8,180,1993
7.3,0.573,12.8,0,0.25,0.1,0.9,0.8,0,7.3,0.571,12.8,2.6,0.733,3.5,54,54,183.3,Non-NBA,31.3,0,2.5,17.3,40,Rich Manning,0,0.6,Washington,2.3,7.1,253,1993
3,0.47,6.4,1.7,0.369,4.6,2,0.4,0,4.7,0.428,10.9,2.2,0.753,2.9,85,40,192,Non-NBA,28.3,0,1.7,13.2,41,Anthony Reed,-3.28,0.9,Cleveland State,1.6,3.9,0,1993
2,0.506,4,1.3,0.41,3.2,4.1,0,0,3.3,0.463,7.2,2.1,0.755,2.7,137,100,153.3,Non-NBA,26.4,0,1.5,10,42,Adonis Jordan,10.1,1.3,Kansas,1.9,2.5,170,1993
4.4,0.537,8.2,1.2,0.378,3.1,3,0.8,0,5.5,0.494,11.2,3,0.827,3.6,131,94,207,Non-NBA,29.2,0,2.6,15.3,43,Josh Grant,4.01,1.5,Utah,2.3,8.1,223,1993
0.7,0.583,1.2,0,0,0,0,0.6,0.6,0.7,0.583,1.2,0.1,0.286,0.4,20,0,207,Non-NBA,5.4,0.6,1.1,1.5,44,Alex Holcombe,0,0.1,Youngstown State,0.2,1.2,244,1993
3.8,0.538,7.2,0.4,0.344,1,1.6,0.6,0,4.2,0.513,8.2,2.9,0.683,4.2,86,30,201,Role,26.9,0,3.2,11.7,45,Bryon Russell,3.02,1.5,Long Beach State,2.1,6.6,225,1993
1.7,0.451,3.9,2.9,0.413,7,6.1,0,0,4.6,0.427,10.8,2.4,0.788,3.1,58,56,180,Role,36.3,0,3.1,14.6,47,Chris Whitney,7.42,2,Clemson,3.5,3.7,168,1993
4.5,0.592,7.6,0,0.143,0.1,1.4,1.3,0,4.5,0.588,7.6,1.6,0.563,2.8,118,88,183.3,Non-NBA,27.8,0,2.3,10.6,48,Kevin Thompson,10.03,0.5,NC State,1.4,6.9,260,1993
3.1,0.451,7,0,0,0,0.1,0.6,0,3.1,0.449,7,0.9,0.555,1.7,76,0,183.3,Non-NBA,20.7,0,2.8,7.2,49,Mark Buford,-6.74,0.7,Mississippi Valley State,1.3,5.6,0,1993
3.8,0.502,7.5,0,0,0,0.7,1.8,0,3.8,0.502,7.5,2.9,0.668,4.4,110,74,183.3,Non-NBA,25.1,0,2.4,10.5,51,Spencer Dunkley,-6.95,1.1,Delaware,1.9,8.3,0,1993
4.2,0.622,6.8,0,0,0,0.9,0.6,0,4.2,0.621,6.8,1.8,0.67,2.7,116,79,183,Role,24.8,0,2.9,10.2,52,Mike Peplowski,9.72,0.3,Michigan State,1.5,7.8,270,1993
6.5,0.485,13.4,1.3,0.388,3.3,1.9,1,0,7.8,0.466,16.7,4.7,0.712,6.7,60,30,201,Non-NBA,33.6,0,0,21.5,53,Leonard White,-8.73,2.8,Southern,3.2,11.2,0,1993
2.3,0.443,5.3,0,0,0.1,0.7,1.2,0,2.3,0.438,5.3,1.5,0.733,2,30,0,207,Non-NBA,20.9,0,1,6.1,54,Byron Wilson,-1.5,0.6,New Orleans,0,4.3,0,1993
8.1,0.507,16,1.8,0.385,4.6,1.9,1,0,9.9,0.479,20.7,5.9,0.773,7.7,62,62,201,Star,35.1,0,2.7,27.5,1,Glenn Robinson,9.81,1.8,Purdue,3.9,9.7,225,1994
3.8,0.541,7,1.3,0.333,3.8,8.4,0.3,0,5.1,0.468,10.8,3.5,0.677,5.1,59,29,192,Star,33.5,0,2.5,14.9,2,Jason Kidd,7.22,3.5,California,4.1,5.9,205,1994
5.4,0.546,9.9,0.3,0.376,0.9,3.6,1,0,5.8,0.532,10.9,3,0.698,4.3,129,115,204,Star,30.4,0,2.4,14.9,3,Grant Hill,10.15,1.7,Duke,2.5,6,225,1994
5.7,0.533,10.8,0.8,0.306,2.7,1.4,2.7,0,6.6,0.487,13.5,4.1,0.77,5.4,91,62,207,Starter,31,0,2.5,18.1,4,Donyell Marshall,7.14,1.2,UConn,2.6,7.6,218,1994
6.2,0.514,12,0,0.091,0.1,2,0.6,0,6.2,0.51,12.1,2.9,0.688,4.2,100,95,207,Star,31,0,3.1,15.3,5,Juwan Howard,12.11,0.8,Michigan,2.7,7.5,240,1994
5.4,0.535,10.2,0,0,0.1,0.8,3.1,0,5.4,0.531,10.3,3.3,0.632,5.3,92,84,183.3,Role,29.2,0,2.7,14.2,6,Sharone Wright,7.23,0.8,Clemson,2.5,9.8,260,1994
6.2,0.533,11.6,1.1,0.337,3.3,1.8,0.9,0,7.3,0.489,15,3.4,0.713,4.8,88,49,201,Starter,30.6,0,2.3,19.2,7,Lamond Murray,7.16,1.3,California,2.6,6.8,236,1994
5.6,0.595,9.4,0,0.333,0,1.2,1.1,0,5.6,0.594,9.4,3.5,0.676,5.1,117,27,207,Starter,29.9,0,2.8,14.7,8,Brian Grant,1.1,0.8,Xavier,2.3,9.2,254,1994
4.5,0.585,7.7,0,0,0,0.6,1.2,0,4.5,0.585,7.7,2.7,0.624,4.3,139,105,210,Role,25.2,0,2.9,11.7,9,Eric Montross,10.42,0.5,UNC,1.5,6.8,270,1994
